"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"22 ","순천시인재육성장학회","성적우수장학금","지자체(출자출연기관)","장학금","지역연고","마이스터고일반고","1학년2학년3학년","○ 직전학기 성적이 환산평가 점수가 60(100만점) 이상","해당없음","○ 특성화고/일반계고 : 100만원○ 방송통신고 : 70만원","○ 순천시 관내 소재 학교의 재학생","○ 공고일 현재 보호자(부 또는 모/후견인) 또는 학생 본인이 순천시에 주민등록을 두고 6개월 이상 계속 거주 하고 있는 고등학생","○ 성적 500/ 소득 200 (700점 만점)","○ 총 28명○ 특성화고 : 10명○ 일반계고 : 17명○ 방송통신고 : 1명","○ 1가구 2명 이상 지급 불가※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 순천시인재육성장학금 신청서○ 개인정보 수집·이용 및 제공·조회 동의서○ 주민등록등본○ 가족관계증명서○ 재학증명서○ 통장사본○ 직전학기 성적증명서○ 건강보험료 납부확인서○ 건강보험료 자격확인서○ 장학금 수혜 확인서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.scij.kr/","2025-09-29","2025-10-24"
"23 ","장흥군인재육성장학회","저소득고등학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 신입생:입학성적이 학년 전체인원이 100분의 50이내인 자○ 재학생:2025년도 2학기 성적이 학년 전체인원의 100분의 50이내인 자","○ 국민기초생활보장법 상 수급자","※ 기관확인필요","○ 군내에 거주하고 주소를 둔 국민기초생활보장법 상 수급자 중 고등학교 신입생 또는 재학생","○ 신청일 현재 장흥군에 등록기준지 또는 1년 이상 계속해서 주민등록을 두고 군내 초·중 중 1개교 이상을 졸업한 자","※ 기관확인필요","※ 기관확인필요","○ 관내고 진학 성적우수 중학생 특별지원 대상자와 중복 지급 가능","해당없음","○ 장학금지원 추천 신청서○ 읍·면장 확인/추천서○ 주민등록등본○ 가족관계증명서○ 재학증명서○ 성적증명서○ 졸업증명서○ 장학금지급통장사본○ 국민기초생활수급대상자 증명서 등(읍면장 확인/추천서로 대체)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.jangheung.go.kr","2026-02-12","2026-03-06"
"24 ","장흥군인재육성장학회","특별격려장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","해당없음","해당없음","해당없음","※ 기관확인필요","○ 관내 초중고교 중 1개 이상을 졸업한 자로서 2026년 각 학교 신입생 또는 재학생○ 행정/사법/외무/기술고시 등 국가고시에 합격하여 임용된 자 (향우와 그 자손 포함)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학생 또는 보호자가 신청 마감일 기준 장흥군에 1년 이상 주민등록 주소지를 두고 있는 자","○ 인재육성장학회 이사 심의 및 선발","○ 예산 범위 내","※ 기관확인필요","○ 읍·면장 추천","※ 기관확인필요","http://www.jangheung.go.kr","2026-02-12","2026-03-06"
"25 ","장흥군인재육성장학회","특별격려장학생(체육특기자)","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","※ 기관확인필요","○ 전국체전 또는 소년체전 이상 대회에서 3등 이상 입상자○ 중앙부처가 주최하는 전국 문화.예술 기능대회 등에서 3등 상당 이상 입상자○ 기타 전국단위 대회에서 대통령상 이상 수상자○ 국제대회에 국가대표 자격으로 출전 입상자○ 체육특기자 육성을 위해 장흥군체육회에서 추천한 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학생 또는 보호자가 신청 마감일 기준 장흥군에 1년 이상 주민등록 주소지를 두고 관내 초중고교 중 1개 이상을 졸업한 자로서 2026년 각 학교 신입생 또는 재학생","○ 인재육성장학회 이사 심의 및 선발","※ 기관확인필요","※ 기관확인필요","○ 장흥군 체육회장 추천","※ 기관확인필요","http://www.jangheung.go.kr","2026-02-12","2026-03-06"
"26 ","강원랜드사회공헌위원회","하이원SOS장학","기타","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","해당없음","해당없음","○ 모집 시작일 기준 1년 이내 발생한 갑작스러운 가정/ 경제 위기상황으로 학업에 심각한 어려움을 겪고 있는 학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 100만원~300만원","○ 전국 폐광지역(7개 시/군) 소재 중·고등학교 재학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 중/고/대학생 합하여 00명","○ 2024년도 강원랜드 멘토링 장학생(나눔/키움) 중복 지원 불가○ SOS 선발 이력이 있을 경우 동일 사유로 지원 불가○ 1가구당 연 1회 제한※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 기관 추천 : 교육지원청/ 학교/ 시·군·구 주민자치센터(희망복지지원단)/ 청소년 센터/ 복지관※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 장학생 추천서○ 장학금 신청서○ 재학증명서○ 개인정보 수집·이용 동의서○ 가족관계증명서○ 경제상황 및 위기상황 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://csr.high1.com","2024-09-02","2024-12-31"
"27 ","수도권매립지주민지원협의체","우수장학생","기타","장학금","성적우수","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","2학년3학년","○ 2025년도 1·2학기 성적이 1~2등급 80% 이상인 자","해당없음","○ 100만원","○ 고등학생(신입생 제외)","○ 수도권매립지 주변영향지역에 공고일 기준 현재 2년 이상 거주한 주민 또는 주민의 자녀","※ 기관확인필요","※ 기관확인필요","○ 2025년도 검단장학재단 및 2025년도 드림파크 장학재단 장학금 수여자 제외○ 동일 세대 지원자 2인 이상일 경우 1인만 지급○ 외국 유학생 및 교환학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생신청서○ 재학증명서○ 성적증명서○ 개인정보 수집 등 동의서○ 주민등록 등·초본 각 1통씩○ 장학금 지급 통장사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.slc.or.kr/","2026-01-07","2026-01-20"
"28 ","우덕재단","우(友) 장학금","지자체(출자출연기관)","장학금","해당없음","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 합격자에 한하여 별도 공개","○ 국내 고등학교에 재학 중인 대한민국 국적의 학생○ 다문화 가정○ 장애가정 (본인 또는 부모)○ 기초생활수급 등 가정환경이 어려운 가정※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 1차 서류 합격자에 한해 2차 전화인터뷰 후 최종 선발","○ 00명","○ 타 재단 장학금과 우장학금은 중복 수혜 가능하나 타 재단 측에도 중복 수혜 가능 여부를 확인※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 직전학기 성적 증명서 (고등 신입생의 경우 중학교 3학년 성적증명서 첨부)○ 건강보험료 납입 증명서○ 기초생활수금 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.udeokfoundation.or.kr/business/uscholarship","2026-04-01","2026-04-08"
"29 ","사회복지공동모금회","6.25 참전용사 후손 장학","기타","장학금","해당없음","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 가구원 소득이 중위소득 100% 이하","○ 100만원","○ 6.25 참전유공자 후손(고손/증손/손자/자녀)","○ 공고일 이전부터 주민등록상 경상남도 진주시/사천시/산청군/고성군에서 생활하는 실 거주자","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 10명","○ 장학금 신청공고일 이후 선정 해당 지역 학교로 전학 예정자 또는 해당 지역 학교 외로 전학 예정인 학생은 지원 불가○ 실 거주지가 선정 해당 지역이 아닌 자 또는 장학금 신청공고일 이후 선정 해당 지역으로 주민등록을 변경한 자는 지원 불가※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 해당없음","○ 장학금 지원신청서○ 개인정보 수집  이용 및 제공 동의서○ 경제상황 증빙서류○ 국가유공자(참전유공자) 확인원 ○ 제적등본(625참전유공자 기준)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","www.mpva.go.kr","2026-04-14","2026-04-27"
"30 ","재단법인 대정장학재단","장학생","기타","장학금","기타","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","해당없음","○ 고등학교 성적 평균점수 75점 이상","○ 가족합산 건강보험료 월평균 납입액이 15만원 이하인 자(2024년도 기준)","○ 연간 300만원 (생활비)○ 심사후 고교 졸업시까지 지급(대학교 진학시 4학년까지 지급)","○ 2025년도 현재 고등학교 2.3학년 재학생(한 학교당 지원자를 2명으로 제한함)○ 2025년도 제2학기 휴학예정자 지원 불가","해당없음","○ 서류심사","○ 0명","※ 기관확인필요","○ 담임 선생님 추천서","○ 장학생 선발 지원서○ 자기소개서○ 고등학교 생활기록부○ 가족관계증명원○ 보호자의 건강보험료 납부확인서(2024년도)○ 고등학교 재학 중 사회봉사활동 확인서○ 담임 선생님 추천서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.daejungaf.com","2025-07-21","2025-08-20"
"31 ","재단법인구례장학회","FFK대회 입상자","지자체(출자출연기관)","장학금","특기자","과학고","1학년2학년3학년제한없음","해당없음","해당없음","○ 금:150만원○ 은:100만원○ 동:70만원","○ 전남자연과학고등학교 재학생○ 2023년 한국영농학생 전진대회(FFK)수상 학생을 학교장이 추천","○ 지원대상자 본인이나 그 보호자가 신청일 현재 구례군에 계속해서 주민등록을 두고 2년 이상 거주한 자","※ 기관확인필요","○ 15명","○ 등록금 범위 초과 불가○ 실 등록금 납부 금액이 최저 지급금액(20만원)보다 적을 경우○ 정규학제 기간을 초과하여 재학 중인 학생○ 중복지원 대상자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 전남자연과학고등학교장 추천","○ 인재육성장학금 신청서○ 주민등록등본○ 개인정보 수집·이용 및 제공·조회 동의서○ 학생 본인명의의 통장사본○ 대회입상 관련 증빙서○ 추천공문※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.gurye.go.kr","2023-08-29","2023-09-15"
"32 ","당진화력장학회","성적장학금","기타","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 1학기 학기말 성적 등으로 지급액 결정","해당없음","○ 성적 상위 30% 각 100만원○ 성적 상위 50% 각 80만원○ 성적 하위 50% 각 60만원","○ 해당년도 재학생 중 해당 학교장의 추천을 받은 학생","○ 발전소 주변지역(석문면 전 지역 및 우정읍 국화도리/안산시 풍도동)에 공고일 현재 5년 이상 실거주하는 주민 또는 자녀","※ 기관확인필요","※ 기관확인필요","○ 국가공무원 수당 등에 관한 규정 또는 지방공무원 수당 등에 관한 규정  제 11조의 규정에 따라 자녀의 학비보조수당을 지급받고 있는 공무원의 자녀 및 한국동서발전(주)의 직원 및 그 자녀는 장학생 선발대상에서 제외","○ 학교장 추천","○ 당진발전본부장학회 성적장학생(중·고등학생) 선발지원서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.ewp.co.kr/kor/main/main.asp ","2025-09-01","2025-09-24"
